Pred_1,Pred_2,Pred_3,Pred_4,Pred_5,Pred_6,Pred_7,Pred_8
111,0,0,0,0,0,0,1
1,107,0,0,0,0,0,0
0,0,97,0,0,0,0,0
0,0,0,87,0,0,0,1
0,0,0,0,116,0,0,0
0,0,0,0,0,90,0,2
0,0,0,0,0,0,89,0
0,2,1,0,0,1,0,94
