epoch,train_sse
1.000000000000000000e+00,5.511983077998864246e+03
2.000000000000000000e+00,5.339197695317729995e+03
3.000000000000000000e+00,5.339001822965124120e+03
4.000000000000000000e+00,5.337893563331995210e+03
5.000000000000000000e+00,5.333616479856638762e+03
6.000000000000000000e+00,5.272137732393146507e+03
7.000000000000000000e+00,4.565266801260863758e+03
8.000000000000000000e+00,3.720032451435180974e+03
9.000000000000000000e+00,2.928608816213411046e+03
1.000000000000000000e+01,2.491365394234358064e+03
1.100000000000000000e+01,2.167293869050697140e+03
1.200000000000000000e+01,1.915364998478358075e+03
1.300000000000000000e+01,1.705179037449481484e+03
1.400000000000000000e+01,1.440979209688999845e+03
1.500000000000000000e+01,1.180789753853945058e+03
1.600000000000000000e+01,1.005865083348412554e+03
1.700000000000000000e+01,8.349385649547484718e+02
1.800000000000000000e+01,8.267533389025115866e+02
1.900000000000000000e+01,7.197573147597440766e+02
2.000000000000000000e+01,6.600448540473731782e+02
2.100000000000000000e+01,6.159744666197419747e+02
2.200000000000000000e+01,5.714902512971432316e+02
2.300000000000000000e+01,5.258891603165618562e+02
2.400000000000000000e+01,4.959874556861610699e+02
2.500000000000000000e+01,4.532751032377668707e+02
2.600000000000000000e+01,4.155208856677268727e+02
2.700000000000000000e+01,3.989684297368585817e+02
2.800000000000000000e+01,3.868949509683178576e+02
2.900000000000000000e+01,3.973933116549753208e+02
3.000000000000000000e+01,3.333953696807318465e+02
3.100000000000000000e+01,3.195934822338568324e+02
3.200000000000000000e+01,2.855282599930079641e+02
3.300000000000000000e+01,2.856158704287476553e+02
3.400000000000000000e+01,3.064295153225564832e+02
3.500000000000000000e+01,2.737534302818457945e+02
3.600000000000000000e+01,2.473882720465236389e+02
3.700000000000000000e+01,2.339279008850962498e+02
3.800000000000000000e+01,2.360957477684396224e+02
3.900000000000000000e+01,2.567555516439652479e+02
4.000000000000000000e+01,2.309635764251653427e+02
4.100000000000000000e+01,2.205913290669561491e+02
4.200000000000000000e+01,2.240780895075780563e+02
4.300000000000000000e+01,1.944303603103028024e+02
4.400000000000000000e+01,2.171402788823630488e+02
4.500000000000000000e+01,2.016383530484921778e+02
4.600000000000000000e+01,1.899661409745009735e+02
4.700000000000000000e+01,1.687341224916255840e+02
4.800000000000000000e+01,1.899577333727580992e+02
4.900000000000000000e+01,1.715513504553724999e+02
5.000000000000000000e+01,1.941243249392108794e+02
5.100000000000000000e+01,1.546659453100648705e+02
5.200000000000000000e+01,1.416889393225750950e+02
5.300000000000000000e+01,1.648101248791131752e+02
5.400000000000000000e+01,1.658027980278772304e+02
5.500000000000000000e+01,1.534938988827692015e+02
5.600000000000000000e+01,1.557342790424659995e+02
5.700000000000000000e+01,1.500164386611563998e+02
5.800000000000000000e+01,1.386856638813907239e+02
5.900000000000000000e+01,1.320427743032435046e+02
6.000000000000000000e+01,1.296714524612314676e+02
6.100000000000000000e+01,1.326127985855651161e+02
6.200000000000000000e+01,1.253015306763755632e+02
6.300000000000000000e+01,1.354062831426037121e+02
6.400000000000000000e+01,1.155783958085326049e+02
6.500000000000000000e+01,1.255211514006525704e+02
6.600000000000000000e+01,1.259359200652655204e+02
