epoch,train_sse
1.000000000000000000e+00,5.496486339390366993e+03
2.000000000000000000e+00,5.334408586315146749e+03
3.000000000000000000e+00,5.211705558117985674e+03
4.000000000000000000e+00,4.053544937354438389e+03
5.000000000000000000e+00,3.151072880380257629e+03
6.000000000000000000e+00,3.010856275196538263e+03
7.000000000000000000e+00,2.743022276756521478e+03
8.000000000000000000e+00,2.217424063324906001e+03
9.000000000000000000e+00,1.916927418389303512e+03
1.000000000000000000e+01,1.707270700011691815e+03
1.100000000000000000e+01,1.493411283215033336e+03
1.200000000000000000e+01,1.207373838765708797e+03
1.300000000000000000e+01,1.041403635797320476e+03
1.400000000000000000e+01,9.266345839517651939e+02
1.500000000000000000e+01,8.255620080331738109e+02
1.600000000000000000e+01,7.922000796717686626e+02
1.700000000000000000e+01,6.996651286475035931e+02
1.800000000000000000e+01,6.679408818753029209e+02
1.900000000000000000e+01,6.250170371239356655e+02
2.000000000000000000e+01,5.693487399302117637e+02
2.100000000000000000e+01,6.049593136583287105e+02
2.200000000000000000e+01,5.252863781323776493e+02
2.300000000000000000e+01,4.844244465908797110e+02
2.400000000000000000e+01,4.484759664071439147e+02
2.500000000000000000e+01,4.385245378494557826e+02
2.600000000000000000e+01,4.087052956280143690e+02
2.700000000000000000e+01,3.962250327347779262e+02
2.800000000000000000e+01,3.717613062932288699e+02
2.900000000000000000e+01,3.609272110445256772e+02
3.000000000000000000e+01,3.381490442566030765e+02
3.100000000000000000e+01,3.328033555021341385e+02
3.200000000000000000e+01,2.961190740703804067e+02
3.300000000000000000e+01,3.240243719765802553e+02
3.400000000000000000e+01,3.014410057800342315e+02
3.500000000000000000e+01,3.047228867175522851e+02
3.600000000000000000e+01,2.723970574541691008e+02
3.700000000000000000e+01,2.635856711018432748e+02
3.800000000000000000e+01,2.742629051921644532e+02
3.900000000000000000e+01,2.570070969068121371e+02
4.000000000000000000e+01,2.677215711672143925e+02
4.100000000000000000e+01,2.646724777188944131e+02
4.200000000000000000e+01,2.666159338988338732e+02
4.300000000000000000e+01,2.415544543089980607e+02
4.400000000000000000e+01,2.300658141267720112e+02
4.500000000000000000e+01,2.291668048161634772e+02
4.600000000000000000e+01,2.364305361788033508e+02
4.700000000000000000e+01,2.149528601102444725e+02
4.800000000000000000e+01,2.209295688792388432e+02
4.900000000000000000e+01,2.086297684715043204e+02
5.000000000000000000e+01,2.405379354012913211e+02
5.100000000000000000e+01,1.846092634927777283e+02
5.200000000000000000e+01,2.100643659195487771e+02
5.300000000000000000e+01,1.951319759638562346e+02
5.400000000000000000e+01,1.897427975635298480e+02
5.500000000000000000e+01,2.094397122053962335e+02
5.600000000000000000e+01,1.814411379241966245e+02
5.700000000000000000e+01,1.908577655379056353e+02
5.800000000000000000e+01,1.678065513835865090e+02
5.900000000000000000e+01,1.575499068519832804e+02
6.000000000000000000e+01,1.695898623356191024e+02
6.100000000000000000e+01,1.900371990829504227e+02
6.200000000000000000e+01,1.580396988100489466e+02
6.300000000000000000e+01,1.596461850015891457e+02
6.400000000000000000e+01,1.784460424739760072e+02
6.500000000000000000e+01,1.683011446325985787e+02
6.600000000000000000e+01,1.576049400650000791e+02
6.700000000000000000e+01,1.520627131099223845e+02
6.800000000000000000e+01,1.418941448074612595e+02
6.900000000000000000e+01,1.551099233284901970e+02
7.000000000000000000e+01,1.473737434465802210e+02
7.100000000000000000e+01,1.283067172853704960e+02
7.200000000000000000e+01,1.494977220358551335e+02
7.300000000000000000e+01,1.426920834217786478e+02
7.400000000000000000e+01,1.649246074838880531e+02
7.500000000000000000e+01,1.399381286676066907e+02
7.600000000000000000e+01,1.492876305341954435e+02
7.700000000000000000e+01,1.194531739923857714e+02
7.800000000000000000e+01,1.414744728673144891e+02
7.900000000000000000e+01,1.522446606071002577e+02
8.000000000000000000e+01,1.548567831543318505e+02
8.100000000000000000e+01,1.094798475139322278e+02
8.200000000000000000e+01,1.261231088783035545e+02
8.300000000000000000e+01,1.374211111702990706e+02
8.400000000000000000e+01,1.345253629639413475e+02
8.500000000000000000e+01,1.225049339238953650e+02
8.600000000000000000e+01,1.324712613829871941e+02
8.700000000000000000e+01,1.217041380764935923e+02
8.800000000000000000e+01,1.005742081153233443e+02
8.900000000000000000e+01,1.184711756109610121e+02
9.000000000000000000e+01,1.205002255539848761e+02
9.100000000000000000e+01,1.257739197230236243e+02
9.200000000000000000e+01,1.325734614377720391e+02
9.300000000000000000e+01,9.602596658390795881e+01
9.400000000000000000e+01,1.062591492748309321e+02
9.500000000000000000e+01,1.130140649576833738e+02
9.600000000000000000e+01,9.247661493554778644e+01
9.700000000000000000e+01,1.051406135188310884e+02
9.800000000000000000e+01,1.008491745523890728e+02
9.900000000000000000e+01,1.021548421518258039e+02
1.000000000000000000e+02,1.039334468585774687e+02
1.010000000000000000e+02,1.021505964177421362e+02
1.020000000000000000e+02,1.009650462873344310e+02
1.030000000000000000e+02,8.411595520265476011e+01
1.040000000000000000e+02,1.175456857676073668e+02
1.050000000000000000e+02,1.000530813419054965e+02
1.060000000000000000e+02,9.911969642315796136e+01
1.070000000000000000e+02,9.125801647617979029e+01
1.080000000000000000e+02,1.074353986988882497e+02
1.090000000000000000e+02,9.419194469607825226e+01
1.100000000000000000e+02,1.167560753901575055e+02
1.110000000000000000e+02,9.947313422233287383e+01
1.120000000000000000e+02,8.212098273092475154e+01
1.130000000000000000e+02,8.166947501417529054e+01
1.140000000000000000e+02,1.005536086295459768e+02
1.150000000000000000e+02,1.010136943474630868e+02
1.160000000000000000e+02,7.910823784937832670e+01
1.170000000000000000e+02,9.573644276231000561e+01
1.180000000000000000e+02,8.241597909618610629e+01
1.190000000000000000e+02,8.211291587045189999e+01
1.200000000000000000e+02,7.851905388935327323e+01
1.210000000000000000e+02,9.093960974104768979e+01
1.220000000000000000e+02,8.030872434058201748e+01
1.230000000000000000e+02,8.505849719687797972e+01
1.240000000000000000e+02,9.683812397811703931e+01
1.250000000000000000e+02,8.038766264410608642e+01
1.260000000000000000e+02,8.890526227542765980e+01
1.270000000000000000e+02,7.805213772637789305e+01
1.280000000000000000e+02,7.546353985974401724e+01
1.290000000000000000e+02,6.415234318277077818e+01
1.300000000000000000e+02,7.678604493338301040e+01
1.310000000000000000e+02,7.169654191826565182e+01
1.320000000000000000e+02,9.664261481735530879e+01
1.330000000000000000e+02,8.488765666922310515e+01
1.340000000000000000e+02,7.146073801929810543e+01
1.350000000000000000e+02,7.400429888831924075e+01
